"(90,)","(93,)","(74,)","(44,)","(-13,)","(10,)","(31,)","(-32,)","(7.58,)","(10.97,)","(14.81,)","(-14.38,)","(90,)","('null',)","('null',)","(44,)","(80,)","(79,)","(84,)","(68,)"
"(90,)","(93,)","(50,)","(47,)","(-14,)","(12,)","(29,)","(-30,)","(-0.51,)","(0.54,)","(-23.76,)","(3.17,)","(90,)","(93,)","(50,)","(47,)","(82,)","(83,)","(76,)","(64,)"
"(93,)","(93,)","(55,)","(51,)","(-15,)","(15,)","(29,)","(-30,)","(2.63,)","(-0.54,)","(5.24,)","(3.66,)","(93,)","(93,)","(55,)","(51,)","(89,)","(89,)","(64,)","(54,)"
"(98,)","(95,)","(56,)","(54,)","(-15,)","(14,)","(29,)","(-30,)","(5.74,)","(2.21,)","(1.18,)","(3.14,)","(98,)","(95,)","(56,)","(54,)","(90,)","(90,)","(63,)","(54,)"
"(104,)","(98,)","(53,)","(54,)","(-15,)","(14,)","(30,)","(-30,)","(5.81,)","(3.53,)","(-3.4,)","(0.0,)","(104,)","(98,)","(53,)","(54,)","(93,)","(92,)","(54,)","(51,)"
"(100,)","(98,)","(55,)","(53,)","(-15,)","(13,)","(30,)","(-30,)","(-3.95,)","(0.0,)","(2.22,)","(-1.09,)","(100,)","(98,)","(55,)","(53,)","(95,)","(95,)","(53,)","(50,)"
"(106,)","(104,)","(57,)","(55,)","(-15,)","(13,)","(30,)","(-30,)","(6.04,)","(5.81,)","(2.42,)","(2.22,)","(106,)","(104,)","(57,)","(55,)","(98,)","(96,)","(54,)","(52,)"
"(104,)","(104,)","(56,)","(55,)","(-15,)","(13,)","(30,)","(-30,)","(-2.09,)","(0.0,)","(-1.23,)","(0.0,)","(104,)","(104,)","(56,)","(55,)","(100,)","(98,)","(55,)","(53,)"
"(106,)","(106,)","(60,)","(57,)","(-15,)","(13,)","(30,)","(-30,)","(2.09,)","(2.09,)","(3.87,)","(2.42,)","(106,)","(106,)","(60,)","(57,)","(103,)","(100,)","(56,)","(54,)"
"(111,)","(108,)","(59,)","(57,)","(-15,)","(13,)","(30,)","(-30,)","(4.44,)","(2.18,)","(-1.35,)","(0.0,)","(111,)","(108,)","(59,)","(57,)","(105,)","(103,)","(56,)","(55,)"
"(109,)","(108,)","(59,)","(57,)","(-15,)","(13,)","(30,)","(-30,)","(-1.82,)","(0.0,)","(0.44,)","(0.0,)","(109,)","(108,)","(59,)","(57,)","(106,)","(104,)","(57,)","(55,)"
"(111,)","(111,)","(60,)","(59,)","(-15,)","(13,)","(29,)","(-30,)","(1.82,)","(2.27,)","(0.9,)","(1.73,)","(111,)","(111,)","(60,)","(59,)","(107,)","(106,)","(58,)","(56,)"
"(113,)","(135,)","(60,)","(60,)","(-15,)","(13,)","(28,)","(-30,)","(2.36,)","(24.48,)","(0.0,)","(0.9,)","(113,)","('null',)","(60,)","(60,)","(109,)","(107,)","(59,)","(57,)"
"(111,)","(121,)","(88,)","(106,)","(-12,)","(11,)","(23,)","(-24,)","(-2.36,)","(-14.38,)","(28.28,)","(46.06,)","(111,)","(121,)","('null',)","('null',)","(110,)","(110,)","(59,)","(58,)"
"(112,)","(113,)","(62,)","(59,)","(-11,)","(10,)","(16,)","(-17,)","(1.88,)","(-7.74,)","(-26.87,)","(-47.41,)","(112,)","(113,)","(62,)","(59,)","(111,)","(112,)","(60,)","(58,)"
"(115,)","(126,)","(108,)","(90,)","(-13,)","(12,)","(21,)","(-22,)","(2.95,)","(13.51,)","(46.09,)","(31.65,)","(115,)","('null',)","('null',)","('null',)","(111,)","(113,)","(60,)","(58,)"
"(126,)","(118,)","(78,)","(91,)","(-16,)","(15,)","(33,)","(-35,)","(11.04,)","(-8.47,)","(-29.68,)","(1.04,)","('null',)","(118,)","(78,)","(91,)","(112,)","(115,)","(65,)","(67,)"
