"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(86,)","(86,)","(83,)","(83,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(3.62,)","(3.62,)","(1.7,)","(1.7,)","(86,)","(86,)","(83,)","(83,)","(80,)","(80,)","(78,)","(77,)","(996600,)"
"(86,)","(86,)","(84,)","(83,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-0.94,)","(1.32,)","(0.0,)","(86,)","(86,)","(84,)","(83,)","(82,)","(82,)","(80,)","(79,)","(996651,)"
"(88,)","(88,)","(85,)","(86,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.93,)","(2.87,)","(0.45,)","(3.62,)","(88,)","(88,)","(85,)","(86,)","(84,)","(84,)","(81,)","(81,)","(996702,)"
"(90,)","(88,)","(88,)","(87,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.02,)","(0.0,)","(3.78,)","(0.48,)","(90,)","(88,)","(88,)","(87,)","(86,)","(85,)","(83,)","(83,)","(996753,)"
"(90,)","(100,)","(87,)","(88,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-0.51,)","(11.11,)","(-1.46,)","(1.46,)","(90,)","(100,)","(87,)","(88,)","(87,)","(88,)","(84,)","(84,)","(996804,)"
"(93,)","(91,)","(88,)","(88,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.63,)","(-8.05,)","(1.46,)","(0.0,)","(93,)","(91,)","(88,)","(88,)","(88,)","(89,)","(85,)","(85,)","(996855,)"
"(93,)","(93,)","(90,)","(88,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.54,)","(1.07,)","(1.51,)","(0.0,)","(93,)","(93,)","(90,)","(88,)","(90,)","(91,)","(87,)","(86,)","(996906,)"
"(95,)","(93,)","(90,)","(90,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.67,)","(0.54,)","(0.51,)","(2.02,)","(95,)","(93,)","(90,)","(90,)","(91,)","(92,)","(88,)","(87,)","(996957,)"
"(93,)","(95,)","(90,)","(90,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-2.21,)","(1.67,)","(-0.51,)","(-0.51,)","(93,)","(95,)","(90,)","(90,)","(92,)","(93,)","(88,)","(88,)","(997008,)"
"(93,)","(93,)","(93,)","(90,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.54,)","(-1.67,)","(2.63,)","(0.51,)","(93,)","(93,)","(93,)","(90,)","(92,)","(94,)","(89,)","(89,)","(997059,)"
