"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(104,)","(72,)","(72,)","(71,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.01,)","(-1.35,)","(0.0,)","(-2.65,)","(104,)","(72,)","(72,)","(71,)","(94,)","(70,)","(70,)","(69,)","(59211,)"
"(104,)","(75,)","(75,)","(75,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(2.74,)","(2.74,)","(4.04,)","(104,)","(75,)","(75,)","(75,)","(98,)","(71,)","(71,)","(71,)","(59262,)"
"(106,)","(76,)","(76,)","(75,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.09,)","(1.45,)","(1.45,)","(0.0,)","(106,)","(76,)","(76,)","(75,)","(101,)","(73,)","(73,)","(72,)","(59313,)"
"(106,)","(80,)","(78,)","(78,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(3.08,)","(1.51,)","(2.96,)","(106,)","(80,)","(78,)","(78,)","(103,)","(74,)","(74,)","(73,)","(59364,)"
"(93,)","(81,)","(80,)","(78,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-13.1,)","(1.63,)","(1.57,)","(0.0,)","(93,)","(81,)","(80,)","(78,)","(102,)","(76,)","(75,)","(75,)","(59415,)"
"(113,)","(85,)","(83,)","(81,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(19.91,)","(3.47,)","(3.33,)","(3.2,)","(113,)","(85,)","(83,)","(81,)","(104,)","(78,)","(77,)","(76,)","(59466,)"
"(86,)","(85,)","(83,)","(83,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-26.52,)","(0.0,)","(0.0,)","(1.7,)","(86,)","(85,)","(83,)","(83,)","(101,)","(80,)","(79,)","(78,)","(59517,)"
"(88,)","(87,)","(86,)","(84,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.93,)","(2.33,)","(2.69,)","(1.32,)","(88,)","(87,)","(86,)","(84,)","(98,)","(82,)","(81,)","(79,)","(59568,)"
"(88,)","(88,)","(86,)","(88,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(1.46,)","(0.94,)","(4.23,)","(88,)","(88,)","(86,)","(88,)","(95,)","(84,)","(82,)","(82,)","(59619,)"
"(90,)","(88,)","(88,)","(86,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.51,)","(0.0,)","(1.93,)","(-1.93,)","(90,)","(88,)","(88,)","(86,)","(93,)","(85,)","(84,)","(83,)","(59670,)"
