"(18,)","(5,)","(1,)","(0,)","(0,)","(0,)","(0,)","(182,)","(186,)","(182,)","(186,)","(161,)","(161,)","(161,)","(161,)","(162.93847908568236,)"
"(15,)","(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(180,)","(208,)","(178,)","(182,)","(161,)","(156,)","(161,)","(161,)","(162.93847908568236,)"
"(16,)","(5,)","(-7,)","(0,)","(0,)","(0,)","(0,)","(176,)","(208,)","(180,)","(176,)","(161,)","(156,)","(161,)","(161,)","(162.93847908568236,)"
"(17,)","(5,)","(-7,)","(0,)","(0,)","(0,)","(0,)","(200,)","(209,)","(174,)","(177,)","(156,)","(156,)","(161,)","(161,)","(104.74616512651009,)"
"(20,)","(24,)","(7,)","(0,)","(0,)","(0,)","(0,)","(177,)","(204,)","(206,)","(208,)","(161,)","(156,)","(156,)","(156,)","(104.74616512651009,)"
"(14,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-250,)","(-250,)","(-250,)","(-250,)","(156,)","(152,)","(156,)","(156,)","(104.74616512651009,)"
"(10,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-250,)","(-250,)","(-250,)","(-250,)","(152,)","(152,)","(152,)","(152,)","(104.74616512651009,)"
"(7,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(154,)","(152,)","(-250,)","(155,)","(148,)","(144,)","(152,)","(148,)","(104.74616512651009,)"
"(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(147,)","(150,)","(153,)","(148,)","(142,)","(144,)","(148,)","(142,)","(104.74616512651009,)"
"(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(143,)","(142,)","(141,)","(141,)","(140,)","(137,)","(137,)","(137,)","(104.74616512651009,)"
"(2,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(139,)","(136,)","(135,)","(136,)","(136,)","(133,)","(133,)","(133,)","(104.74616512651009,)"
"(2,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(130,)","(132,)","(135,)","(135,)","(129,)","(130,)","(133,)","(133,)","(104.74616512651009,)"
"(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(126,)","(126,)","(128,)","(131,)","(125,)","(125,)","(126,)","(130,)","(104.74616512651009,)"
"(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(125,)","(122,)","(125,)","(122,)","(125,)","(121,)","(125,)","(121,)","(104.74616512651009,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(118,)","(118,)","(118,)","(115,)","(117,)","(117,)","(117,)","(114,)","(104.74616512651009,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(111,)","(114,)","(118,)","(111,)","(111,)","(114,)","(117,)","(111,)","(104.74616512651009,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(111,)","(105,)","(108,)","(111,)","(111,)","(105,)","(108,)","(111,)","(104.74616512651009,)"
